"x" "y" "bayes" "MIG"
-6.9070184471655 -4.60034348495911 1 842.83
-8.05580780309365 -17.5381559990844 1 536.51
-7.88465389366058 -14.6140913425062 1 526.11
-9.09504183504916 -16.1682440417533 1 526.11
-9.15217575552903 -17.2878474158591 1 531.31
-9.24042332305677 -17.3300558392967 1 531.31
-7.56226178243954 -16.5459171072648 1 521.11
-7.7491507141776 -14.6461616008227 1 526.11
-9.15993101687236 -15.5743727256632 1 526.11
-7.92083987978363 -16.2921144904448 1 531.31
-9.53666691131509 -15.0677942822742 1 531.31
-7.87304329027214 -13.957194842461 1 526.11
-9.42360539984292 -17.8861474780449 1 531.31
-8.22082656656844 -15.9644090926717 1 526.31
-8.48285510661501 -16.8296264025861 1 545.31
-7.79409213615555 -17.6738627238226 1 521.11
-9.24526377519245 -16.5023983077535 1 521.11
-8.46867255296453 -16.1863565485116 1 545.31
-7.72709903762598 -13.2014201466907 1 526.11
-9.48532872657967 -16.1333315071295 1 531.31
-9.30610702286937 -17.4575326706842 1 536.51
-7.61925066509342 -13.9791642800551 1 526.11
-9.36700685725721 -16.5327097068639 1 531.31
-7.81549006077983 -13.9907953562702 1 526.11
-7.65894787415487 -15.7033305640797 1 526.11
-7.88745998663976 -16.1123397573598 1 536.51
-7.90764090570041 -15.647122752651 1 526.11
-7.86366729929691 -14.8728781805013 1 531.31
-7.61443274401788 -15.5939526228152 1 526.11
-9.54685851485246 -16.5360340857095 1 531.31
-9.10005309288184 -14.0055767506007 1 521.14
-7.95568960882931 -17.7036371957083 1 531.51
-7.93603683649077 -14.5657256028764 1 533.84
-7.9158283734859 -14.9550720510045 1 521.11
-9.33300217076332 -17.5125746642407 1 531.31
-7.86026731039219 -15.8659404492396 1 536.51
-9.01761525198763 -15.8312772315525 1 526.11
-7.53459274034655 -14.1011169760923 1 538.81
-8.04568604623599 -15.213073684944 1 512.11
-7.79762335241685 -15.216178437008 1 526.11
-7.85874060219048 -15.9895401896718 1 521.11
-7.91009256991727 -17.3148199153119 1 536.51
-9.16511780114954 -14.741683583271 1 516.14
-7.98999216925017 -15.2386442472165 1 531.31
-7.86980866060677 -15.5655227611663 1 531.31
-8.16829560868862 -16.6791249043086 1 541.71
-7.84836364489542 -14.3210064932253 1 526.11
-7.5708903865996 -15.7351273322308 1 526.11
-10.2359001351154 -19.6300555179913 1 555.71
-9.4039241410704 -17.2416252415668 1 536.51
-9.03940390941108 -16.1495951667062 1 526.11
-9.28749531408154 -18.7703757591439 1 526.31
-7.81642351292682 -16.0385952889341 1 526.11
-8.10231778270005 -16.4145429496258 1 521.11
-9.42263971020292 -18.5852405642214 1 531.51
-8.16640580670485 -18.7541509659672 1 555.71
-8.00028293336907 -15.7770122953908 1 545.31
-7.82404084038933 -14.8618490627304 1 526.11
