"x" "y" "bayes" "MIG"
-17.7699159820522 2.80988359656118 1 1892.1
-15.3695402642892 2.3320162979062 1 1929.4
-12.3400874763983 3.13107441491968 1 1621.7
-14.7746680912363 5.41955681956051 1 1349.1
-6.39516041015574 9.40397413659869 1 1523.4
-5.48028698779812 10.8065431072968 1 1563.3
-13.2721513229377 -6.14125502966104 1 1760.3
-12.3165900719413 4.53856921880795 1 1577.6
-6.58322338046827 11.7689899815035 1 1349.1
-7.1399600182696 10.920237393724 1 1677.8
-7.0088108337017 10.0009793619919 1 1717.6
-8.19747637595893 10.7238378191634 1 1626.6
-6.60032104477971 9.95250419826992 1 1524
-7.20612450532412 10.7992730632792 1 1461.8
-5.59649946803041 12.3347509961853 1 1534.5
-4.80142823066042 12.3182505122696 1 1198.5
-4.19412861158784 11.4995228333793 1 1154.4
-5.90080038524434 11.8628042648948 1 1369.9
-3.44825393596117 10.7933265092122 1 1332.2
-6.23549207102602 10.9585911446398 1 1244.6
-4.3806354501767 13.4165983813937 1 1577.5
-6.09648437513813 11.5494423370919 1 1252.4
-5.6259145243435 11.6444337845582 1 1392.6
-0.915520531118804 7.73275084489839 1 1192.4
-1.93989632610228 5.98855698387119 1 1104.3
-0.2204225307335 5.77114999150066 1 1176.2
-0.370180668496124 8.62559447651797 1 1181.1
-0.768015890030551 8.21425180960141 1 1400.6
-2.63115897145077 8.56903639451022 1 1384
-1.02454699384273 8.62801644181351 1 1365.1
0.761763174560752 8.48663842374716 1 1203.2
-2.43366019656523 7.26843697993502 1 1332.4
-5.36502626389803 9.03128471040792 1 1318.4
-3.07335909338271 8.75488504459588 1 1126.3
-2.30811869264347 9.65011689755094 1 1189.7
-4.39692467044077 8.9959490187937 1 1112.4
-3.78536175239117 10.3034961905371 1 1302.5
-4.61561996298731 9.9565190304601 1 1430.7
-1.39087792182602 8.83786320839592 1 1151.8
-5.58911106828676 12.8974893016064 1 1705.9
-4.37132603078873 11.3900591191511 1 1242.3
-3.97419916861626 12.2762558424579 1 1238.7
-5.03712237153223 13.2641757684566 1 1425.5
-4.16470540884722 12.4592967550041 1 1862.1
-5.25101168415865 12.2133545010617 1 1314.7
-3.19308892432834 10.9743989720127 1 1369.8
-5.4417146160958 10.3991125947182 1 1654.1
-3.9707984287418 9.64303827517547 1 1601
-3.9527716580909 12.0336126459733 1 1501.5
-4.95507502884639 8.60307533802771 1 1430
-4.19482623477585 10.699933273016 1 1498.5
-4.03381304368417 12.1132802650798 1 1432.7
-5.24159841294051 12.2381546768849 1 1483.9
-5.83718972279494 11.4926036222449 1 1469.2
-4.1938722311415 11.4215942140188 1 1383.2
-5.49146233924508 11.8399513102719 1 1584.8
-5.23837844653225 12.9089260306579 1 1421.4
-2.77878849254827 10.519712479099 1 1200.6
-4.58660340036576 9.68538188504604 1 1301.6
-1.73993218651505 8.15664489082953 1 1313.1
-5.13262405663997 7.8807655713548 1 1414
-5.03262016390846 7.96094550979282 1 1428.9
-3.94389346889942 10.5578575407448 1 1533.9
-3.29062639460824 10.805491180293 1 1407.5
-0.585881181102435 11.8575129740822 1 1174.3
-1.38654860440299 9.02938396378866 1 1293.9
-1.38759391659487 8.34082042150523 1 1302
-7.2825437756765 10.9979764322542 1 1469.7
-5.55193976893907 10.8658572242081 1 1719.1
-5.77164950992826 10.370325906033 1 1639
-5.36558420496417 8.26462874908615 1 1453.6
-6.31730026866703 11.0697265440996 1 1618
-1.26458358930323 9.2195967967512 1 1177
-5.05442491695384 10.847855373389 1 1132.2
-4.79341631513261 12.059070866166 1 1288.3
-6.63395977477492 9.12837412597294 1 1368.7
-3.06706898547203 10.9414848483708 1 1239.5
0.937875148658151 8.52151715690847 1 1107.6
-3.25582025286369 10.6005874731289 1 1005.5
-5.19920740873387 10.2097741364751 1 1339.1
-1.46210422733421 8.09470474483799 1 1341
-2.10448822000196 11.5646987176546 1 1434.6
-0.881735520512146 12.2659176376921 1 1360.2
-1.76932589800615 9.8772478461048 1 1446.8
-0.828962477138597 11.0461303646528 1 1317.1
-4.31292142496178 8.71620443967988 1 1276.3
0.274969364615893 8.84123232419488 1 1161.2
-3.96887401308273 11.2756855299502 1 1384.6
-4.76400463965265 10.8621674948086 1 1539
-3.71024671261043 11.66074666336 1 1285.1
-1.95885831545976 8.40273096035532 1 1315
-0.715069691943659 10.0358137166749 1 1258.5
-2.80981118269738 9.51976831614845 1 1587.8
-2.03325584865963 10.526516486354 1 1403
-0.263084671254739 8.06244939979392 1 1414.9
1.23754433883799 2.91814046104373 1 1521.9
1.85216982078514 7.1249172624209 1 1372.5
-0.696826969988009 8.80452764132316 1 1511.3
-7.1959438328404 -4.69159239803591 1 1323
-6.43502698345932 -3.6003402163932 1 1243.8
-13.0202472618191 -13.3770105526852 1 1408.2
-11.506925182395 -12.7000962049402 1 1362.8
-14.1441775378473 -19.3951052822158 1 1574.9
-3.95623051200345 -20.2954749132684 1 1411.1
-13.555660653714 -21.1038562331361 1 1503.9
-16.3652236250496 -17.1260475414073 1 1537.7
-17.067024568441 -17.3046118871175 1 1330.1
-11.8409385726216 -21.77731207864 1 1258.7
-12.808260916256 -19.6884513364591 1 1400.3
-11.9370864897836 -19.1935430107459 1 1158.7
-12.3888839061053 -21.2162309522532 1 1194.2
-14.0935563275856 -19.3690431592084 1 1128.1
-11.8799100670884 -21.5125726344805 1 1268.1
-7.21147958804468 -18.8597913128115 1 1379.6
-4.56984587253641 -18.9529699604413 1 1295.9
-3.27529040551225 -18.7444655806753 1 1604.1
-5.79564999879211 -19.8919849386151 1 1220.5
-4.12326901472781 -17.674940135703 1 1245.5
0.156292827913305 -20.0931953399436 1 1179.4
-0.890175431319068 -23.3356017781732 1 1210.4
-4.56369073391742 -21.7193569951302 1 1246.3
-3.8145350043897 -21.1558354613111 1 1497.1
-3.0410482852649 -20.9965233971839 1 1438.8
9.90892543972356 0.0905838059871643 1 1371
10.0983604036221 1.91965866428767 1 1467.5
10.0904262616329 0.457227016896307 1 1515.2
10.0644271960618 -0.1467366210959 1 1438
7.91211540643779 1.52203046895036 1 1400.8
9.10007110960253 1.03352672976958 1 1308.4
9.84669143447625 0.391260503892977 1 1257.2
10.4048670623784 -0.714025969202166 1 1294.2
9.68989590485132 4.04835567604217 1 1194
10.6359081286794 -1.11793859335618 1 1202.6
9.57620446742292 2.65587090610338 1 1310.6
7.07598359350993 -0.075659017297455 1 1628.3
7.99536518869701 2.27463030832592 1 1389.5
7.5876319352453 -0.872366234890126 1 1592.5
6.49147036384491 2.61758318528795 1 1436
7.74446385822973 4.26333234457889 1 1539.7
8.73953394154537 0.46958979105255 1 1501.4
8.99899022587756 2.26448726818107 1 1084.2
7.07382660866562 0.688311675650925 1 1404.2
8.15027603830265 -0.0290604706753148 1 1100.6
8.15220561053086 -2.00558362726362 1 1206.4
7.38666613477437 -1.70682631871438 1 1100.6
9.19323144751235 3.06656660064279 1 1170.6
9.01584085740059 0.573456350541378 1 1153.4
12.8288610664505 2.27573466526463 1 1529.7
12.7695489484075 -1.46769045175111 1 1372.1
12.8421100573698 -0.0843628035165139 1 1138.3
8.89576925157996 1.3117262225715 1 1322.1
10.7065618004909 1.70100938063402 1 1347.5
7.48287018361617 4.12075064349343 1 1458.6
11.7116514183706 1.83656882632098 1 1416
12.6224909605453 1.75939852304426 1 1123.8
12.18789836185 0.29202653628 1 1358.7
10.2879307963192 4.04751487410773 1 1395.3
9.41643260563374 3.85002649367446 1 1112.5
9.83023792470192 4.26076326983129 1 1370.3
9.05206863757805 3.59817678345274 1 1422.4
7.40682481663681 4.38450878799828 1 1620.8
10.9753508771137 3.39144132949145 1 1090.1
10.7928963124023 3.23252641739691 1 1193.1
11.3683274948943 1.05148984526667 1 1096.4
12.8299820099113 1.99693962379906 1 1134
9.5572035215505 1.46798614274694 1 1098.9
11.3719637153005 -0.959598936546546 1 1220
10.954218735718 2.08141753081424 1 1071.7
7.91838382762066 3.81994193384088 1 1191.4
11.2007456074443 4.46729133097386 1 1159.1
12.8996763101737 1.42490381155535 1 1263.8
12.1334755310547 0.605564104964374 1 1339.1
11.5788264398224 2.2658885875983 1 1189.1
12.0381914457887 1.44108311400716 1 1298.7
-10.5783083306949 -21.3056185947685 1 1121.8
-4.93305644176258 -19.9306141413848 1 1722.3
-4.2766131893472 -21.4603684953462 1 1572.9
-4.04326047295376 -19.870348559924 1 1362.8
-10.7889353673449 -14.7157576894662 1 1162
-9.68260160421555 -6.95164743821006 1 1330.5
-7.23962684043692 -4.67060752467389 1 1066
6.34495909681431 3.38962017778487 1 1441.6
0.244955875781989 8.57012401625687 1 1171.3
5.87559795014958 5.14874396247991 1 1137.7
4.94800598158496 6.09710060940719 1 1072.5
4.82897507864572 6.6121276636691 1 1280
5.60776302034156 7.1314856931386 1 1282
1.74528922297926 7.14158692124971 1 1515
5.04691444720117 6.08590523501595 1 1449.9
5.5940886548389 5.8352546156051 1 1208.9
5.24799729379525 7.22422339535904 1 1197.7
3.33276092202046 5.74932492727132 1 1125.4
5.56862688356119 5.64812875599973 1 1237.7
0.379921081341856 7.01951359114186 1 1181.2
6.07991778871813 5.1516565663855 1 1304.8
5.96327461660719 5.09808246068938 1 1352.7
3.61392297132007 5.75466562982379 1 1484.2
0.703806296521683 8.79303367031494 1 1343.8
5.38970373316827 4.54763061153506 1 1404.3
5.94417146578452 4.71378383849747 1 1197.7
5.88704313189176 3.85570545729528 1 1339.8
6.87924072456483 4.36158514874962 1 1314.7
0.199668872827024 7.64373394411844 1 1101
-1.70325206037417 6.75413042821324 1 1284.3
3.25335063788082 6.25866171098784 1 1390.8
3.22260442041103 7.88667529042084 1 1510.5
1.96823682908681 6.77971063866933 1 1529.6
5.36160522957905 4.98644116608815 1 1513.8
4.38514313996007 5.61041053683059 1 1340.1
5.63075204447236 7.51204212175611 1 1364.8
2.52672255586456 7.08270912575356 1 1598.3
3.02025417359009 6.8788583223525 1 1702.6
3.77004584728923 5.87309379397187 1 1378.6
3.21853372284158 7.46427194084341 1 1353.8
0.071735094047684 5.16798161205698 1 1469.4
2.62217349825512 5.88581842460428 1 1513.9
5.55541164957359 6.33759183213215 1 1115.6
2.79381212611607 7.58749855279104 1 1257.5
5.00234422013692 6.51430544145645 1 1987.7
2.72828740599644 7.56107084635999 1 1447.8
2.98108820023674 8.23043719403477 1 1427
5.87855673445101 4.03914728878425 1 1217.5
2.5191588400338 6.37582219358517 1 1507.1
4.85295565733402 6.36915249648756 1 1434.5
4.78566273110102 6.05513520941895 1 1352.7
5.49684937189722 6.34899213192938 1 1237.7
6.16014083634465 4.17023323472594 1 1445.7
5.36251906408121 8.16679085785212 1 1204.6
6.89690703490716 4.84103644583124 1 1278.8
5.80222971584601 6.46090420729026 1 1517
2.89914649461772 5.00284315382221 1 1466.6
4.64345368643101 8.19945040824362 1 1357.9
4.50084038589847 7.25273810071084 1 1324.4
5.45444815454124 6.9371074474825 1 1086.8
5.32173811219678 5.07878713982498 1 1258.9
4.84612083120962 4.88734928267595 1 1390.6
3.0275836478928 4.88013993025934 1 1215.6
5.00303517339051 8.61981065214821 1 1472.5
5.67535021661933 5.08090888819218 1 1306.1
0.252974156926304 10.9464921185931 1 1579.9
4.84221877665144 9.29660599345061 1 1473.8
3.02381208351481 10.7671412959533 1 1619.9
3.72291979119935 10.0909789225023 1 1369.1
2.13851250749905 10.3333422072911 1 1415.9
3.5744793077259 10.3263280420599 1 1360.9
3.62476093809216 9.69267693333094 1 1384.4
1.59276032084993 8.74262531745357 1 1528.7
1.02296677747191 8.70487943536594 1 1553.3
-2.29785737619597 6.60435180093167 1 1208.8
0.609227738898857 9.19470757510743 1 1391
4.1419814923931 9.68941227478737 1 1281.2
-1.30672206016566 6.69543260671944 1 1331.8
-0.4941271123387 6.32253136525564 1 1396.2
1.82279082689238 4.85458090277535 1 1232.8
2.33271551703813 5.07846461516693 1 1458.1
2.46368184546595 6.1022345288956 1 1474.8
1.44265125299288 4.92229900279172 1 1493
2.34719096248554 3.57667202543453 1 1277.5
2.68192869891852 4.17104700555153 1 1415.6
-3.34621876775257 -1.72013278852845 1 1335.5
-2.62983685296135 -16.8600041182215 1 1305.8
-1.01558345052244 -19.2022233835803 1 1227.6
7.01712742416975 -5.74703588366342 1 1282.4
5.33454778902322 -2.44987551454753 1 1050.5
7.74302275164473 -2.3294710179172 1 1110.4
7.31060598998651 -4.07119724833803 1 1027.1
7.68006695806701 0.321047225039626 1 1244.8
8.57233638649506 -3.7266180708782 1 1104.3
8.92650840744991 -2.10275519666794 1 1015.5
8.93456641218466 -2.87842607766138 1 1362.1
6.91867792599416 -3.21876993625032 1 1067.5
10.3734283458501 -1.91688933500235 1 1521.3
9.7432266046629 -1.17419601766157 1 1184.3
7.11142451199032 0.577264224093652 1 1116.9
9.02935993060795 1.56377495972182 1 1153.2
12.0378112035514 3.46730957690993 1 1093.9
9.46587702970218 0.184530013364527 1 1356.8
10.5166861049669 0.0893403493192972 1 1389.8
7.05808464637025 1.21557945897638 1 1602.8
7.56517233180649 1.55554015391329 1 1463.8
6.30597274390337 0.797876771374597 1 1412.8
9.39773795762238 -1.40492777964497 1 1517.1
10.3798149403292 -0.400916128189841 1 1304.8
8.25360346742533 2.17652307165689 1 1417.1
10.3442611119804 1.32982471461834 1 1409.8
12.908806836757 -1.60706174476759 1 1127.4
13.328431377945 -0.969502751820637 1 1275
12.6441292268491 3.08190455878897 1 1161.1
12.6245356759107 -2.8492548219212 1 1241.1
9.62847937250273 -0.0870162164051832 1 1091.4
10.6495892973485 -2.76726250329083 1 1196.3
12.2404589952654 -0.381064256259517 1 1253.5
11.7458537102697 -2.14905525230255 1 1371.3
11.9706193643947 0.638609426724868 1 1220.7
8.4759401124369 -1.45694308547358 1 1074.3
10.8903917290215 1.36935516074003 1 1158.3
8.62832489351033 -0.0575058764973575 1 1479
10.5262736311827 -2.63124236671121 1 1407.8
11.3641555663643 -2.81883746361777 1 1510.3
10.3539770149427 -1.96315340302848 1 1344.7
11.207628031538 0.278226739462778 1 1394.6
8.22798787287173 -1.79160010765105 1 1466.2
5.97475011423611 3.14059592881288 1 1295.8
6.51524498890563 4.78221793073752 1 1494.1
9.83468209352991 2.06353413569656 1 1229.1
11.628936342005 2.02069267920442 1 1113.2
10.9736764670791 1.67188605343238 1 1354.6
9.77889290967313 0.61638613402158 1 1483.5
5.943449324693 5.64121875181848 1 1264.9
10.8184475226519 4.37247738764249 1 1275
6.33751351875215 -0.122090045550938 1 1040.2
8.07282854893526 2.16993902745542 1 1518.2
10.4564281512153 4.23411158828352 1 1091.5
10.593834233758 1.419859488289 1 1293.1
11.6169078491724 2.6258160504149 1 1153.3
10.3733338380483 -0.57097260351627 1 1214.7
10.9784251145853 0.452782062639564 1 1296.3
12.1406093057684 0.234495774315695 1 1338.2
9.10320205766167 1.78528601322821 1 1472.1
6.50174579514275 0.68623993294054 1 1411.6
11.3647812799987 -1.32910756381408 1 1296.9
9.58921617487105 0.450225500965817 1 1090
5.97300946884707 2.51059984055773 1 1107.2
