"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 396.04 2739.4 5061.6 157.4 0.720930232558139 -591.697808302192 0.473512499490233 0.0574578374826604
"2" 396.04 2008.1 5061.6 157.4 0.651162790697674 -407.044742955257 0.622629582806574 0.0783825506697874
"3" 396.04 2486.4 5061.6 157.4 0.651162790697674 -527.815372184628 0.525100933893398 0.0633043758043758
"4" 396.04 2359.7 5061.6 157.4 0.651162790697674 -495.823654176346 0.55093593246605 0.0667033944993008
"5" 396.04 2173.3 5061.6 157.4 0.581395348837209 -448.757701242299 0.588944170303006 0.0724244236874799
"6" 396.04 2588.2 5061.6 157.4 0.674418604651163 -553.519846480154 0.504343216018923 0.0608144656518043
"7" 396.04 2023.4 5061.6 157.4 0.697674418604651 -410.907989092011 0.619509807919742 0.0777898586537511
"8" 396.04 2643.8 5061.6 157.4 0.720930232558139 -567.558832441168 0.493005994861547 0.059535517058779
"9" 396.04 2491.7 5061.6 157.4 0.674418604651163 -529.153620846379 0.524020227560051 0.0631697234819601
"10" 396.04 2267.4 5061.6 157.4 0.604651162790698 -472.517927482073 0.569756535214714 0.0694187174737585
"11" 396.04 2366.2 5061.6 157.4 0.674418604651163 -497.464902535098 0.549610537906284 0.0665201589045727
"12" 396.04 2665.5 5061.6 157.4 0.744186046511628 -573.038076961923 0.488581216100485 0.0590508347401988
"13" 396.04 2456.5 5061.6 157.4 0.651162790697674 -520.26562973437 0.531197748868317 0.0640749033177285
"14" 396.04 2834.6 5061.6 157.4 0.674418604651163 -615.735784264216 0.454100566861058 0.0555281168418825
"15" 396.04 2963.2 5061.6 157.4 0.674418604651163 -648.207251792748 0.427878145263244 0.0531182505399568
"16" 396.04 2565.9 5061.6 157.4 0.627906976744186 -547.889102110898 0.508890338893194 0.0613429985580108
"17" 396.04 2199.7 5061.6 157.4 0.581395348837209 -455.423694576306 0.583561029321806 0.0715552120743738
"18" 396.04 2579.5 5061.6 157.4 0.674418604651163 -551.323098676901 0.506117205660454 0.0610195774374879
"19" 396.04 2937 5061.6 157.4 0.767441860465116 -641.591758408242 0.433220504873374 0.053592100783112
"20" 396.04 2404.8 5061.6 157.4 0.674418604651163 -507.211392788607 0.541739733289833 0.0654524284763806
"21" 396.04 2567.6 5061.6 157.4 0.697674418604651 -548.318351681648 0.508543697239101 0.0613023835488394
"22" 396.04 2865.3 5061.6 157.4 0.697674418604651 -623.487526512474 0.44784062640186 0.0549331658116079
"23" 396.04 2276.7 5061.6 157.4 0.627906976744186 -474.866175133825 0.567860201459973 0.0691351517547327
"24" 396.04 2835.5 5061.6 157.4 0.697674418604651 -615.963034036966 0.453917050691244 0.0555104919767237
"25" 396.04 1935 5061.6 157.4 0.651162790697674 -388.587011412989 0.637535173932548 0.081343669250646
"26" 396.04 2230.5 5061.6 157.4 0.651162790697674 -463.200686799313 0.577280698177073 0.0705671374131361
"27" 396.04 2329.8 5061.6 157.4 0.651162790697674 -488.273911726088 0.557032747440969 0.0675594471628466
"28" 396.04 2780.6 5061.6 157.4 0.720930232558139 -602.100797899202 0.465111537049876 0.0566064878083867
"29" 396.04 2657.2 5061.6 157.4 0.651162790697674 -570.942329057671 0.490273642999878 0.0592352852626825
"30" 396.04 2084.3 5061.6 157.4 0.604651162790698 -426.285223714776 0.60709188042902 0.0755169601304994
"31" 396.04 2119.8 5061.6 157.4 0.651162790697674 -435.248964751035 0.599853187064149 0.0742522879516936
"32" 396.04 2356.3 5061.6 157.4 0.581395348837209 -494.965155034845 0.551629215774234 0.0667996435088911
"33" 396.04 2242.1 5061.6 157.4 0.581395348837209 -466.129683870316 0.574915378655031 0.0702020427277998
"34" 396.04 2140.1 5061.6 157.4 0.627906976744186 -440.37470962529 0.595713877900575 0.0735479650483622
"35" 396.04 1915.8 5061.6 157.4 0.511627906976744 -383.739016260984 0.641450185555238 0.0821588892368723
"36" 396.04 2877.5 5061.6 157.4 0.720930232558139 -626.568023431977 0.445352962766608 0.0547002606429192
"37" 396.04 2270 5061.6 157.4 0.720930232558139 -473.174426825573 0.569226377390808 0.0693392070484582
"38" 396.04 2614.8 5061.6 157.4 0.558139534883721 -560.23633976366 0.498919293666653 0.0601958084748355
"39" 396.04 2585.3 5061.6 157.4 0.674418604651163 -552.787597212403 0.504934545899433 0.0608826828607898
"40" 396.04 1943 5061.6 157.4 0.604651162790698 -390.607009392991 0.63590391908976 0.081008749356665
"41" 396.04 2260.1 5061.6 157.4 0.651162790697674 -470.674679325321 0.571245055258758 0.0696429361532675
"42" 396.04 2572.2 5061.6 157.4 0.744186046511628 -549.47985052015 0.507605725704498 0.0611927532851256
"43" 396.04 2585.2 5061.6 157.4 0.627906976744186 -552.762347237653 0.504954936584968 0.0608850379080922
"44" 396.04 2727.5 5061.6 157.4 0.697674418604651 -588.693061306939 0.47593899106888 0.0577085242896425
