"SCI" "RCI" "GER" "MSM*" "MIG"
"1" 0 -2861.20953276807 0.0538430564528398 0.221834894863535 348.392632351746
"2" 0.4 -1603.46037858352 0.37364988157861 0.294629882818577 253.174747659732
"3" 0.4 -2505.42700260044 0.793897539031506 0.565901117010259 139.435808877274
"4" 0.6 -1100.71094746535 0.754828897673018 0.521361853696966 144.245563219127
"5" 0.4 -1277.53620416664 0.406870428916781 0.303519271839445 243.481312103896
"6" 0.2 -2022.84351956966 0.294965110603983 0.281838531873873 281.193843491597
"7" 0.6 -2787.00132973114 0.692825169902798 0.461285603528528 167.977062323864
"8" 0.2 -1879.60380006334 0.353062524071992 0.28534491619286 262.689510827977
"9" 0 -2234.9792675279 0.049701082658332 0.219896453651157 349.27960465959
"10" 0.4 -3384.18826227923 0.762743648158625 0.5234698447018 145.714048529649
"11" 0.2 -1044.24292448483 0.632342608606631 0.41482326625255 179.341218580573
"12" 0.4 -3015.0861822602 0.575668056788546 0.383572507275695 199.722343895305
"13" 0.4 -1202.88370438082 0.538439220573511 0.365945850267065 206.78947270239
"14" 0.2 -2680.79644165861 0.195784285676402 0.243412542652348 309.665921564307
"15" 0.4 -4660.07754856436 0.544641471391702 0.364799772582371 207.324317201099
"16" 0.2 -2815.12741975486 0.213892866035325 0.257876403548903 302.911169189378
"17" 0.2 -2856.57642141567 0.316772772359572 0.292030899043609 277.123085798544
"18" 0.4 -2123.42985626118 0.421826913498552 0.324972722535808 241.432184015098
"19" 0.2 -2429.53097030403 0.173328729618413 0.241527736638367 311.864022278227
"20" 0.4 -2125.78038014788 0.484234159053728 0.341000565982079 221.809070317925
"21" 0.2 -2075.10515590706 0.172694904630168 0.242943412249173 311.524909766996
"22" 0.2 -3786.5719656279 0.252447806346543 0.260849605459553 293.019034885697
"23" 0.4 -1396.3711421918 0.481942479435375 0.334736273015497 224.756444539269
"24" 0 -3261.26515294034 0.0358719159642454 0.213982137625827 355.211923986045
"25" 0 -5441.81103183794 0.0656771005742331 0.22400715450618 347.360861786618
"26" 0.4 -3497.84487832748 0.400274939592489 0.310908200692937 245.598861733708
"27" 0.4 -1485.18190554932 0.497742599956117 0.358094037345487 220.462347157241
"28" 0.2 -5497.0523015477 0.40458323897748 0.310206918336502 253.611514105834
"29" 0.4 -2155.19702860273 0.622106175019991 0.420450992576773 185.178376511578
"30" 0.2 -1532.06572940545 0.493866863193359 0.336359107400915 221.075694307371
"31" 0 -2303.8808913214 0.0342027578814428 0.213950357715979 355.523989314749
"32" 0.4 -2780.43442082726 0.423521680912922 0.323776763415693 242.336689176306
"33" 0 -2152.13767498517 0.0209155206171592 0.210157211216425 357.4650378805
"34" 0.2 -3095.10480001998 0.258052998738244 0.26460812223561 289.74510224117
"35" 0.2 -1797.53805121404 0.497380397654188 0.347443166431517 219.875639149058
"36" 0 -2844.46556939776 0.0792468736667624 0.232109975982103 338.623462759471
"37" 0.4 -2349.61444116689 0.695150070285112 0.468803644761922 162.881719649362
"38" 0.2 -1754.05297612033 0.232201599150525 0.254357374826361 293.753586013929
"39" 0.4 -2901.01225645539 0.642112057997744 0.434538296120025 183.036167687993
"40" 0.4 -4374.63963200924 0.399898953075318 0.303198802119369 247.687261725031
"41" 0.4 -1591.15950964904 0.471174765448927 0.347968945540791 230.163292196952
"42" 0.2 -3816.49581960225 0.191061127961501 0.242937342305759 310.352506186999
"43" 0.4 -1282.91070587537 0.552089849648235 0.376075376729112 203.333912867913
"44" 0 -3735.56633087481 0.0102656082995479 0.20970098034845 356.54049370226
"45" 0.4 -1794.07840088709 0.422888026712581 0.322533319688084 242.033616493118
"46" 0.2 -3989.39739587943 0.309729223432321 0.288787493364248 278.46567823207
"47" 0.2 -2467.65118707005 0.195639173919621 0.249224181814779 306.586102075898
"48" 0 -6341.59391897691 0.0336453529347377 0.215757542805325 352.640227176726
"49" 0.2 -2074.23136810491 0.280773097519832 0.277581728538043 282.572995240532
"50" 0.6 -3228.97989418132 0.611067033010868 0.40380598914426 188.603004906094
"51" 0.2 -5761.13432262429 0.248684192264379 0.258614478461389 295.130761962198
"52" 0.2 -5720.64984452977 0.375083335467972 0.291300233636194 259.082497218344
"53" 0.2 -1597.48816345765 0.319434342948324 0.277306800662155 269.722785796982
"54" 0.2 -4893.37112067362 0.259396308505498 0.259734565208027 288.50983483115
"55" 0.4 -2648.14360374696 0.390487839138992 0.302374799842716 250.507009251195
"56" 0.2 -3009.89620193799 0.194951085219424 0.246866887832008 308.943955198966
"57" 0 -2931.02688243707 0.091478813894486 0.234925175425249 336.86616087188
"58" 0.4 -2431.51458136348 0.61000356200209 0.401013385488149 188.048268358375
"59" 0 -1536.11489207027 0.0116989409956939 0.210827423168341 354.731165320484
"60" 0.2 -1890.99671634257 0.494221637082734 0.354272234655786 222.016593727423
"61" 0.2 -6932.91165554022 0.238905535969236 0.254362512485781 297.134052417462
"62" 0 -5230.34512223418 0.0322070018546257 0.217105407272554 348.954731950793
"63" 0 -2903.16939572215 0.0788119416947239 0.231145477545107 339.805820690095
"64" 0.6 -1742.14993398894 0.662302574478931 0.45067711257926 175.561933576677
"65" 0.2 -1439.44455357399 0.333595944582607 0.296560421689162 268.391362256231
"66" 0 -10165.0836311213 0.13665549889821 0.247785160758182 331.061713856703
"67" 0.4 -2378.78180646768 0.394463661448195 0.307482658466979 247.704541594593
"68" 0.4 -1674.73521507887 0.562240330726211 0.390196104032615 203.235356757836
"69" 0 -3966.90480185067 0.0549253915739745 0.219595970791102 351.451890724024
"70" 0.4 -976.470619912791 0.713740986409839 0.484544329417513 158.178561936354
"71" 0.4 -3095.50278862194 0.426680244262132 0.310871804763445 240.664628848352
"72" 0.4 -3587.72200941144 0.399370423043929 0.302739655668849 249.225781943218
"73" 0 -3208.17372001033 0.00929486110689515 0.208242567805282 358.937673305813
"74" 0.4 -1649.81153339111 0.569332463678915 0.375792593814357 198.669754711178
"75" 0.4 -1613.15206168279 0.550553452719437 0.368347710220739 204.23390163834
"76" 0.2 -1718.39607439409 0.227047637573237 0.253450425733529 293.607846321026
"77" 0.4 -1758.75393582202 0.732227170214763 0.507892058717275 156.494632794324
"78" 0.2 -1526.19948919991 0.52143899548967 0.352673179986448 214.546303675114
"79" 0.4 -1830.54331216308 0.475452292834243 0.340469626904018 227.473983513354
"80" 0.2 -2284.89239970978 0.178496075525974 0.242994804295173 309.978536238032
"81" 0.2 -2026.46924356555 0.677958666891075 0.449241388568566 168.4416128151
"82" 0.2 -4513.75416905915 0.268728385495685 0.268372515719556 289.720415949274
"83" 0.4 -2276.11506490812 0.748855047627176 0.50737078304286 146.77941767443
"84" 0.4 -3344.03075286868 0.690667901430251 0.477929865317144 168.217323022184
"85" 0.2 -5738.85848949855 0.331163991793882 0.281998153950509 265.974592962407
"86" 0.2 -9205.16155654571 0.223711630099476 0.260267132050191 302.639897923847
"87" 0.2 -3990.93175063326 0.16124510878961 0.235740644783782 314.040800116945
"88" 0.2 -1839.26760381109 0.318739121290383 0.279741940996614 268.495927516918
"89" 0.2 -3862.70072819084 0.383879385870727 0.302986664605943 257.748270219937
"90" 0.4 -2030.30923251159 0.571445678640548 0.372930261167912 199.12784564913
"91" 0.4 -1727.93308840724 0.391821390062873 0.304563991025506 248.66500127929
"92" 0.2 -2907.59989382126 0.225272760602162 0.251550082061974 295.495349533681
"93" 0.4 -1952.64668175409 0.429165289554258 0.327114663373787 241.691417554033
"94" 0.2 -2282.16425160973 0.281048219471969 0.276031447710161 284.236811857414
"95" 0.4 -1653.93126447653 0.582126833857654 0.380745980927764 198.381083841086
"96" 0.4 -2246.3742248877 0.426877011228975 0.324146007775601 241.457588982
"97" 0.2 -1819.2705415281 0.48772037861178 0.345204043387622 223.965936868277
"98" 0.4 -2404.01566420575 0.43005783526677 0.326580912794988 243.54160965432
"99" 0.4 -3212.67088915558 0.377543437598092 0.295616375521738 252.643966359715
"100" 0.2 -2364.43743566037 0.322389889546748 0.278891889790352 269.67819881523
"101" 0 -2767.24387692101 0.0292070415933041 0.214933380535102 351.414222964726
"102" 0.4 -2093.97924488155 0.703272666573465 0.484763656285537 162.56367366612
"103" 0.2 -2549.22596906377 0.538578126987201 0.367598979261957 211.779864065023
"104" 0.4 -1820.87411929416 0.394904316439738 0.306393738338608 248.614187479485
"105" 0.4 -1319.90123086792 0.524024565927165 0.356388435081744 209.198866445292
"106" 0.2 -4518.9176577857 0.207665413896036 0.254163512825784 305.685926174559
"107" 0.4 -2174.58070501595 0.607416589807196 0.408796480041581 194.247497711796
"108" 0 -2065.85719536647 0.0341792449887235 0.217092130483933 350.595051262248
"109" 0.2 -3362.31355556501 0.368075364733173 0.298176959824396 258.319623589539
"110" 0.8 -1751.87714532769 0.859878212920267 0.653128656617282 117.818171500601
"111" 0 -4662.63611935197 0.0569129177799229 0.220651718291375 349.960338783648
"112" 0.4 -2173.589097642 0.533358017683576 0.361495034301426 209.940654467838
"113" 0.2 -3511.64657383248 0.249231257980813 0.259433769989247 294.894217404572
"114" 0.2 -2067.08796588537 0.229364098700509 0.25386607466115 294.069964913919
"115" 0.2 -4738.33235313743 0.286610461701482 0.27642551417547 285.522918444395
"116" 0.2 -1920.23095930227 0.487239667627139 0.343584805322421 222.925900623994
"117" 0.2 -2058.72415183037 0.477345557442036 0.341916908203563 227.672913351282
"118" 0.2 -2221.64330816109 0.358041111302621 0.286591953322181 261.371999500401
"119" 0.2 -3248.47303506642 0.48576349776089 0.347016133337903 227.261582630663
"120" 0.2 -4658.00738905532 0.234592972505213 0.252657800375284 297.95072988976
"121" 0.4 -1757.31869459587 0.392507562973256 0.297628843577532 250.857337215869
"122" 0.2 -2767.76394479624 0.684362894627469 0.462105201715089 168.549936956237
"123" 0.2 -1540.04940220944 0.506953732511143 0.362950851777694 220.757757328264
"124" 0 -5906.1193528946 0.0650394355456887 0.22547644173049 344.596151473047
"125" 0.4 -2438.28340836992 0.600863631985882 0.394924501782021 189.679715809366
"126" 0.6 -1401.46540216497 0.607369444166379 0.400146894858117 189.843972209422
"127" 0.4 -1823.89480060416 0.704194514078899 0.472026135349552 162.534627351398
