Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
110	-806.358	-819.772	13.4135	1.455604	11.14786	0.0482862	0.0646931	0.0274942	0.0208956	0.0771723	0.0183557	0.0338274	0.0269818	0.0199193	0.0248929	0.0433107	0.00759164	0.0248032	0.0221969	0.0530253	0.0228015	0.0445451	0.0692611	0.103565	0.0498139	0.0689771	0.0738857	0.0319104	0.0599347	0.0828381	0.082194	0.0537506	0.182926	0.155666	0.236186	0.0395692	0.0476775	0.104279	0.0544952	0.150836	0.0439224	0.168865	0.218382	0.580996	1.0477	2.15292	2.441344
120	-810.051	-822.737	12.686	2.812193	12.92164	0.0827667	0.0527588	0.0519942	0.0219615	0.105575	0.0483779	0.040331	0.0417544	0.0148436	0.0793552	0.0279044	0.0167383	0.0237679	0.037205	0.0555765	0.0169129	0.0318195	0.1141	0.0353089	0.0710599	0.0986964	0.0919386	0.0367631	0.150709	0.0914435	0.0693046	0.0896878	0.111559	0.0673746	0.127482	0.053727	0.0375588	0.121109	0.0723188	0.0717727	0.116388	0.0749374	0.37419	0.720569	1.08142	1.82382	2.452882
130	-804.465	-816.117	11.6515	3.446379	14.24152	0.0509736	0.0376845	0.0150293	0.0244766	0.130508	0.0231042	0.0221531	0.0511526	0.00440936	0.0692022	0.073087	0.0141601	0.0177385	0.0305874	0.0400016	0.0126561	0.0683879	0.129134	0.0258078	0.10537	0.148624	0.094867	0.114936	0.0937153	0.129395	0.037789	0.0928356	0.0167424	0.0847097	0.0960806	0.148023	0.0178359	0.0663339	0.0642777	0.102543	0.131819	0.101655	0.421096	0.753588	1.08398	1.74134	2.487805
140	-799.147	-813.175	14.0279	1.987858	11.24917	0.0407953	0.0294317	0.0339606	0.0234776	0.0984302	0.0135234	0.0357575	0.0350862	0.00188037	0.067846	0.0281632	0.00748249	0.0341507	0.0263621	0.038334	0.0245687	0.0844024	0.190281	0.0283554	0.107039	0.0428719	0.113652	0.0773074	0.0657731	0.0667248	0.128927	0.0856653	0.0159065	0.147807	0.0960058	0.0713247	0.0505434	0.028248	0.105525	0.139051	0.101248	0.0594758	0.291821	0.653716	1.06968	1.98478	2.345384
150	-806.24	-816.634	10.3935	1.946465	9.534284	0.0308295	0.0832957	0.0612086	0.00771936	0.197848	0.00544722	0.0451654	0.0249001	0.00426999	0.0670929	0.0384212	0.0117148	0.068052	0.0162114	0.0606654	0.0250373	0.0610754	0.185387	0.0666018	0.104509	0.0706568	0.0336607	0.0778477	0.0436557	0.0837078	0.184269	0.0658279	0.0275295	0.10714	0.0495902	0.113126	0.0245385	0.0547476	0.0688104	0.0996401	0.179968	0.0967	0.286799	0.649197	1.06859	1.99541	2.546868
160	-801.502	-811.525	10.0226	3.149836	11.20006	0.0257244	0.022099	0.0586051	0.0130843	0.145122	0.00794997	0.0703025	0.0236147	0.0040948	0.104275	0.0148601	0.0266181	0.0236978	0.0116774	0.0663135	0.0353345	0.0708015	0.131923	0.0647127	0.134585	0.102494	0.0151442	0.141333	0.15668	0.0582963	0.157706	0.0643571	0.0113237	0.20222	0.125608	0.122471	0.0406278	0.0381961	0.0427545	0.0867685	0.130241	0.0443408	0.400531	0.7395	1.08316	1.77681	2.595958
170	-804.129	-820.158	16.0289	1.825721	18.13571	0.0275551	0.0335721	0.0325131	0.058567	0.16115	0.0109469	0.0410726	0.0344459	0.00959124	0.0222406	0.00933695	0.0159724	0.0446194	0.0165511	0.0236852	0.0224936	0.039801	0.138981	0.024111	0.0611632	0.0708488	0.00685581	0.100274	0.0954381	0.150441	0.117453	0.0114781	0.0200327	0.136241	0.227613	0.12306	0.0507217	0.00993356	0.0291645	0.0657533	0.122894	0.0852407	0.271544	0.635102	1.06495	2.02841	2.251814
180	-805.481	-819.9	14.4191	3.916264	19.1108	0.0274472	0.0678637	0.024223	0.0488927	0.14045	0.0146606	0.0460961	0.0431858	0.00405661	0.0441698	0.00957936	0.00386227	0.0500357	0.0160978	0.0453565	0.0310421	0.0420933	0.139739	0.0390999	0.0952408	0.102123	0.0125552	0.0578036	0.0338974	0.0505611	0.017415	0.00908415	0.0410975	0.104314	0.241028	0.0697964	0.0428775	0.0210963	0.0818711	0.133165	0.223616	0.0274566	0.449702	0.772263	1.0844	1.69363	2.20295
190	-802.002	-816.345	14.3427	3.650791	15.52999	0.0158906	0.0400447	0.0275462	0.0527294	0.0830817	0.00210433	0.0873141	0.0217362	0.0108123	0.0661873	0.00537325	0.00497848	0.0377484	0.0194791	0.00382972	0.0134767	0.0388845	0.122952	0.058153	0.0713517	0.143339	0.00479398	0.0816805	0.110888	0.0480215	0.0258738	0.00813959	0.0508194	0.0980554	0.243074	0.0678954	0.0338845	0.0194497	0.13927	0.141911	0.174762	0.109174	0.434085	0.762196	1.08427	1.71945	2.284705
200	-812.964	-819.639	6.67456	2.561786	14.88573	0.0436927	0.0390381	0.0102389	0.0378864	0.0666603	0.00369212	0.0413352	0.100481	0.0118338	0.103061	0.011346	0.0218545	0.0221244	0.0386237	0.0080589	0.0087082	0.0312325	0.107471	0.115457	0.0667234	0.272228	0.00218874	0.0841967	0.061862	0.102498	0.0366035	0.011266	0.224546	0.220224	0.179242	0.217103	0.0272907	0.0500301	0.103457	0.183027	0.12539	0.0845482	0.352237	0.703962	1.0793	1.8645	2.875219
