Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
130	-255.625	-269.572	13.9475	1.274962	14.73193	0.148757	0.00169685	0.137896	0.0964903	0.0340641	0.0122644	0.0427505	0.0126418	0.1839	0.0519101	0.0161812	0.0031047	0.00361946	0.00195119	0.0444317	0.0273704	0.0662202	0.0445868	0.0131751	0.0581034	0.315111	0.0245285	0.00748735	0.159254	0.0110422	0.0426608	0.0244823	0.0565486	0.294621	0.188375	0.546243	1.03393	2.23145	1.936852
140	-241.754	-260.619	18.8645	2.25232	14.7891	0.134084	0.000800676	0.153917	0.0726072	0.0236975	0.00962224	0.00595042	0.0090266	0.0286696	0.0490853	0.00962253	0.00519155	0.0162525	0.000561826	0.0412224	0.0318224	0.083783	0.0419645	0.0127966	0.0207901	0.108394	0.102604	0.0318474	0.0723421	0.00836255	0.0376129	0.00630438	0.0598151	0.358878	0.321642	0.679416	1.07519	1.92375	1.537629
150	-243.743	-262.68	18.9368	4.252295	19.20961	0.103221	0.000733611	0.0918977	0.0612147	0.0358358	0.0113216	0.00512763	0.0195447	0.0049294	0.0823125	0.0116133	0.00498774	0.0196089	0.000314196	0.0302656	0.0772834	0.125618	0.0686855	0.0155573	0.0271153	0.124535	0.052766	0.0404659	0.104889	0.00756474	0.0200248	0.00496907	0.0937378	0.178551	0.467707	0.783505	1.08428	1.6645	1.424692
160	-249.073	-263.28	14.2065	4.364478	20.19792	0.108078	0.000532225	0.100888	0.0399836	0.0533367	0.027649	0.00840627	0.00970359	0.0113294	0.0816493	0.0130339	0.000658002	0.0381244	0.000102487	0.0741031	0.0272476	0.0987246	0.0225619	0.0318962	0.0360414	0.169555	0.0712081	0.0151308	0.083237	0.0227497	0.0992345	0.00438011	0.0671645	0.329165	0.473329	0.78694	1.08419	1.65554	1.645874
170	-246.229	-268.603	22.374	4.038882	17.70426	0.0926641	0.00279077	0.043112	0.0146543	0.0143889	0.0114962	0.00806942	0.0274263	0.0108001	0.0241069	0.0267207	0.0017536	0.0404965	0.000153544	0.0215743	0.042244	0.0625466	0.0373326	0.0388883	0.0578184	0.249419	0.0675151	0.00624377	0.113956	0.0333782	0.00713355	0.0105874	0.0348741	0.14493	0.456486	0.776543	1.08439	1.68258	1.247075
180	-248.449	-269.993	21.544	1.585641	22.86922	0.0750244	0.0025757	0.0247465	0.0690664	0.0254545	0.00596212	0.0345344	0.0179811	0.0149828	0.0617938	0.0488788	0.00218255	0.0416339	0.00230549	0.0225311	0.0147773	0.0207267	0.0480946	0.0751166	0.04746	0.145255	0.207146	0.0484755	0.0501964	0.0322422	0.0246689	0.01278	0.041387	0.170457	0.238254	0.602217	1.05508	2.10445	1.388437
190	-241.827	-271.693	29.8656	0.8609218	21.83563	0.0719558	0.00157106	0.036369	0.0216939	0.0358092	0.0148455	0.0179828	0.0290681	0.0110754	0.0137098	0.018599	0.0010804	0.0247104	0.00142388	0.0138225	0.0150234	0.0192443	0.0849329	0.0512469	0.042808	0.0620397	0.24141	0.0227861	0.0225845	0.0368614	0.0103809	0.012795	0.0434109	0.0750486	0.108441	0.430552	0.972504	2.4885	1.05429
200	-238.135	-267.312	29.1767	1.074967	29.49938	0.0489246	0.0027695	0.11549	0.0369353	0.040322	0.0268891	0.00727096	0.0175885	0.0394078	0.00990489	0.0309424	0.00352898	0.00659153	0.00121645	0.0188503	0.00692829	0.0125849	0.0466201	0.0296649	0.0634125	0.128814	0.175316	0.0234636	0.0291258	0.0046203	0.0365601	0.0100517	0.036653	0.029814	0.151665	0.498181	1.01139	2.33876	1.040261
210	-230.487	-261.704	31.2163	0.3870052	20.49824	0.0261027	0.00849606	0.0758673	0.00908683	0.0261502	0.00821817	0.0103978	0.0202885	0.0242122	0.0111293	0.038218	0.00604332	0.00623941	0.000847332	0.00963994	0.00959806	0.00651843	0.0408215	0.0649477	0.0343677	0.157806	0.219569	0.0340973	0.0615722	0.00385292	0.0237882	0.013838	0.0192656	0.0329522	0.0148852	0.171984	0.716827	3.0963	1.003931
220	-231.532	-266.438	34.906	0.7009107	26.00562	0.0326241	0.0112273	0.0414608	0.00680309	0.0338913	0.003316	0.0101158	0.0198232	0.0229411	0.0169951	0.0178425	0.0049822	0.0108643	0.000559306	0.0101793	0.00434034	0.00176109	0.0391563	0.0526894	0.0178615	0.104987	0.165566	0.0358744	0.059266	0.00376629	0.0159926	0.0643012	0.0263138	0.0248897	0.0743828	0.36396	0.925205	2.63645	0.8603911
