Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
4630	-251.445	-269.608	18.1622	0.9491451	19.90589	0.0855586	0.105126	0.0427692	0.0149064	0.000282256	0.0214249	0.00928644	0.021665	0.0661897	0.0897803	0.00455368	0.00924985	0.0211242	0.0046305	0.00593731	0.0121295	0.117705	0.0329981	0.0543328	0.111567	0.250365	0.0505832	0.0309815	0.0392547	0.0644619	0.011152	0.256472	0.0252708	0.0648313	0.126699	0.460914	0.991034	2.42135	1.624589
4640	-256.289	-273.446	17.1566	3.526191	18.91651	0.0886445	0.14706	0.0232827	0.00633067	0.000188493	0.0462321	0.0269421	0.029652	0.0429611	0.028587	0.0131372	0.0449652	0.0234443	0.011483	0.00608353	0.0575763	0.138048	0.0247464	0.0874345	0.0709399	0.257041	0.0266749	0.0364314	0.0280738	0.00928634	0.0136922	0.19727	0.0130798	0.0595009	0.426274	0.757046	1.08412	1.73256	1.55879
4650	-250.201	-266.234	16.0333	3.054831	14.34257	0.0339347	0.0649322	0.0340232	0.0295571	0.000299945	0.0410774	0.0215439	0.0749223	0.0508174	0.041006	0.00436567	0.0187223	0.0381566	0.00726718	0.0103126	0.0185976	0.139061	0.00842095	0.0329043	0.0458469	0.349443	0.0600545	0.0415932	0.0370338	0.00269741	0.0352912	0.293774	0.051898	0.0836291	0.39346	0.734519	1.08277	1.78925	1.671184
4660	-245.09	-265.757	20.6668	2.51053	16.56941	0.0712698	0.0079993	0.0569581	0.0437651	0.000239514	0.0347925	0.0173937	0.0506729	0.0196333	0.0613866	0.00831392	0.00709916	0.0420472	0.00956717	0.030438	0.121279	0.0935346	0.00392523	0.0976513	0.0277213	0.179779	0.0667428	0.0601149	0.0271649	0.00443766	0.0443251	0.140419	0.059051	0.0377898	0.347453	0.700236	1.07875	1.87357	1.425512
4670	-242.404	-268.802	26.3978	1.087166	20.56713	0.0227558	0.00847341	0.051861	0.0424789	0.000385099	0.00653097	0.0139393	0.0491927	0.00441641	0.0269693	0.0256218	0.0130296	0.0216334	0.0198598	0.0418283	0.0786179	0.0489523	0.00285128	0.0635227	0.0511517	0.152826	0.0463831	0.0339983	0.117337	0.00616648	0.0400126	0.146563	0.0251693	0.0423416	0.15401	0.50147	1.01306	2.33146	1.204869
4680	-253.889	-270.796	16.9073	2.278626	15.09505	0.0332482	0.012468	0.0521245	0.0374573	0.000859082	0.0422157	0.0206267	0.0930595	0.00456795	0.0299583	0.0230055	0.0176278	0.0348699	0.0351132	0.0492147	0.0131514	0.0779926	0.00214294	0.117516	0.0731637	0.156614	0.047107	0.0279613	0.181971	0.00770966	0.0427555	0.237152	0.0661728	0.131837	0.324411	0.68171	1.07562	1.91826	1.669663
4690	-252.973	-265.888	12.9151	1.25872	11.33182	0.0452487	0.00686691	0.0764394	0.0323909	0.000667518	0.0102474	0.0349726	0.0786062	0.00944584	0.101855	0.0367095	0.00952851	0.0227275	0.0122383	0.0550498	0.00993893	0.149411	0.000517791	0.122725	0.0698428	0.321394	0.0566059	0.0467252	0.166807	0.00175759	0.0393988	0.242889	0.0729011	0.165115	0.185533	0.542759	1.03244	2.23927	1.999022
4700	-257.555	-269.075	11.5204	1.364981	14.44423	0.102952	0.0165667	0.115125	0.0765171	0.00255825	0.0119922	0.0721182	0.223879	0.0315041	0.0254643	0.0110573	0.00983602	0.0090348	0.0254588	0.0486966	0.018322	0.0412842	0.00262227	0.0378108	0.107279	0.271128	0.0135097	0.0803674	0.093607	0.000950526	0.0103972	0.258604	0.0597427	0.323234	0.203691	0.564423	1.0414	2.19049	2.101618
4710	-248.299	-263.285	14.9867	1.68136	15.20453	0.0497039	0.0182573	0.196933	0.0454631	0.00636034	0.0117797	0.0434952	0.0370669	0.0362378	0.0239762	0.0105662	0.00467114	0.0129479	0.0144359	0.00830259	0.0273968	0.209586	0.00431789	0.0823796	0.0915247	0.205203	0.0386257	0.0715962	0.0996932	0.00125416	0.0313091	0.315471	0.0429033	0.0941251	0.252029	0.616202	1.05951	2.07226	1.835582
4720	-255.223	-266.41	11.1875	2.382045	11.48493	0.0714341	0.032061	0.365484	0.0463461	0.00316704	0.00559581	0.0421836	0.0153108	0.0395777	0.0308743	0.0147761	0.00304712	0.0431017	0.0106461	0.0109777	0.0362091	0.0768035	0.016441	0.15834	0.0648758	0.324304	0.0654196	0.073838	0.0765811	0.000746306	0.0710483	0.304605	0.0291243	0.0232966	0.33498	0.69033	1.07716	1.89753	2.056216
4730	-257.611	-270.036	12.4255	2.81313	16.63887	0.112735	0.0501564	0.148489	0.0455769	0.00482017	0.00933408	0.0157316	0.0391401	0.0793527	0.02361	0.0139473	0.0165368	0.0114902	0.0109912	0.0233327	0.0840893	0.153287	0.00750577	0.165949	0.0848038	0.302778	0.112231	0.106534	0.0600673	0.00165524	0.0458888	0.132436	0.0294385	0.0112296	0.374268	0.720627	1.08142	1.82368	1.903138
4740	-251.644	-263.857	12.2126	2.572782	15.11796	0.0937049	0.0401202	0.318746	0.0343995	0.00591977	0.00460018	0.0044547	0.0137766	0.0658972	0.039079	0.0191588	0.0160463	0.026199	0.0157223	0.0162034	0.0638032	0.100812	0.0078107	0.111583	0.061626	0.268813	0.0594338	0.0816199	0.147442	0.000577421	0.053705	0.243523	0.0315987	0.0144406	0.35325	0.704746	1.07941	1.8626	1.960817
4750	-245.021	-265.13	20.109	2.470607	18.91501	0.0890813	0.0194918	0.108476	0.0260638	0.00387208	0.0198821	0.0078898	0.019931	0.0462824	0.0498578	0.0205683	0.00406065	0.022669	0.0153163	0.0648077	0.0563315	0.0858326	0.00979009	0.0436062	0.0522361	0.145667	0.0614497	0.0368634	0.0889644	0.000721746	0.0658553	0.23072	0.0527637	0.00947419	0.343652	0.697247	1.07829	1.88082	1.458526
4760	-244.237	-266.624	22.3866	2.997743	16.77811	0.081612	0.0254112	0.0187122	0.03827	0.00443653	0.0227973	0.0138103	0.0321974	0.0249841	0.0467703	0.0201177	0.00808875	0.020868	0.00261189	0.0450357	0.0563601	0.0728973	0.00425805	0.0521733	0.0794047	0.255985	0.0296185	0.0856481	0.0500363	0.000596739	0.0500251	0.111066	0.0270679	0.0145287	0.389087	0.731403	1.0825	1.79701	1.295389
4770	-248.541	-269.596	21.0552	2.119721	19.95343	0.0920493	0.0335987	0.102834	0.034296	0.00675874	0.013621	0.0473935	0.0442861	0.019542	0.0466179	0.0252333	0.00469291	0.0173032	0.0017135	0.0417022	0.0263058	0.0314279	0.00374902	0.0272311	0.0866772	0.117381	0.00882965	0.0512852	0.0679965	0.00108963	0.0304942	0.266881	0.148444	0.020621	0.307159	0.667169	1.07272	1.95296	1.420054
4780	-253.458	-270.705	17.2471	3.061271	21.35563	0.0516903	0.0557837	0.079445	0.0530799	0.0182824	0.0139261	0.0273803	0.0270378	0.0384883	0.0580014	0.0360208	0.00527482	0.017013	0.000215397	0.0633493	0.0131386	0.062399	0.00653994	0.0415849	0.0851975	0.218271	0.00701734	0.0496646	0.0331317	0.00393992	0.0853001	0.219042	0.145309	0.0246113	0.393947	0.734865	1.0828	1.78839	1.540136
4790	-254.685	-265.964	11.2791	3.998304	11.58381	0.0718929	0.0191202	0.0515501	0.0923186	0.0170118	0.024698	0.00862414	0.0853823	0.0609675	0.057759	0.0358851	0.0065317	0.0297233	0.00233287	0.0591007	0.00364227	0.131229	0.0261902	0.17239	0.069922	0.273595	0.0132173	0.0468666	0.0857911	0.0126034	0.121932	0.204879	0.0977823	0.0280401	0.454269	0.77515	1.0844	1.68618	1.91098
4800	-260.043	-268.373	8.33023	3.743131	12.15716	0.117605	0.0169254	0.115878	0.0301882	0.0264368	0.0195392	0.0097195	0.077481	0.0563726	0.00964826	0.0272966	0.0106197	0.0344618	0.00170065	0.0483625	0.00416656	0.185439	0.111561	0.213566	0.0529683	0.386409	0.0584374	0.0296473	0.130886	0.0041703	0.0256735	0.285379	0.0761322	0.0235418	0.439669	0.76583	1.08435	1.71016	2.190213
4810	-263.109	-273.696	10.5868	1.552597	13.31093	0.121725	0.0120786	0.127077	0.0676087	0.0161101	0.0282751	0.00412762	0.0801086	0.0257316	0.017576	0.029786	0.121677	0.051987	0.00254708	0.0825837	0.0189116	0.0600428	0.048382	0.10781	0.0285984	0.343415	0.0898914	0.0440685	0.14416	0.0194905	0.0990857	0.170057	0.182094	0.0305978	0.233334	0.597083	1.05337	2.11622	2.175605
4820	-270.397	-275.972	5.57457	3.2981	12.16153	0.152917	0.0447062	0.231876	0.117184	0.0319751	0.0324634	0.00261916	0.0805053	0.0352943	0.0104653	0.0370624	0.0466621	0.0241544	0.000827718	0.0711414	0.0554085	0.0561016	0.0611631	0.155695	0.014291	0.240497	0.0602733	0.104891	0.019191	0.037227	0.0814541	0.496227	0.132527	0.0185942	0.411085	0.746803	1.08364	1.75847	2.453393
4830	-271.104	-274.56	3.45564	1.904958	8.756383	0.13718	0.038371	0.174291	0.0739595	0.0659551	0.0516647	0.0041827	0.05893	0.044479	0.014466	0.0373105	0.0517476	0.0537756	0.00122172	0.0234483	0.0722953	0.0344589	0.0554974	0.260781	0.0138799	0.38571	0.0519522	0.117699	0.031914	0.0338649	0.0889662	0.453954	0.317133	0.049301	0.281659	0.644511	1.06742	2.00641	2.798389
4840	-269.306	-269.69	0.384204	4.606166	7.084898	0.216394	0.020714	0.28195	0.0690055	0.0698711	0.0517388	0.01042	0.0362571	0.0780762	0.0168763	0.0710882	0.0417051	0.0521461	0.0023732	0.0323091	0.0656833	0.066394	0.0495254	0.182157	0.0204357	0.360737	0.0496416	0.0852136	0.0385255	0.083665	0.0591676	0.38502	0.150264	0.043664	0.48485	0.793867	1.08391	1.63737	2.691018
4850	-271.275	-271.689	0.413757	2.73817	9.708531	0.332195	0.0132721	0.168161	0.0586133	0.0248146	0.0149973	0.0126766	0.0396204	0.146177	0.0135375	0.0908347	0.0362869	0.0154645	0.00239	0.0335455	0.106191	0.141151	0.109178	0.153224	0.0457702	0.384192	0.0134209	0.112983	0.13167	0.0801508	0.110984	0.270002	0.325703	0.0529509	0.367934	0.715917	1.08088	1.83527	3.040156
4860	-265.896	-277.222	11.3251	2.303629	12.68575	0.245031	0.00680432	0.0279829	0.0642942	0.037455	0.0585656	0.00890991	0.062387	0.0847406	0.0375074	0.0550525	0.0165351	0.0139134	0.00165225	0.0223493	0.145016	0.11247	0.199278	0.126232	0.0438305	0.170499	0.00838227	0.131363	0.0393514	0.0529294	0.0473078	0.140676	0.0656721	0.039117	0.327012	0.683851	1.07601	1.91312	2.065305
4870	-252.633	-270.126	17.4928	1.83767	14.86998	0.0814164	0.00469463	0.0224268	0.0461451	0.0233079	0.0240105	0.00807424	0.16212	0.0328657	0.0212948	0.0342357	0.0151333	0.00734187	0.00118129	0.0198423	0.0644191	0.0793303	0.147561	0.100179	0.0585823	0.183988	0.00241322	0.0396701	0.0206644	0.0510652	0.0236025	0.146747	0.178709	0.0579193	0.273096	0.636562	1.06534	2.025	1.658941
4880	-260.678	-275.571	14.8926	2.529468	13.8857	0.135645	0.0433382	0.0230247	0.0457644	0.0550802	0.0171579	0.00526063	0.079672	0.0334246	0.0585775	0.0346751	0.0116361	0.00712319	0.00110739	0.0298904	0.167592	0.0567096	0.0761908	0.0356546	0.0316023	0.269199	0.00174871	0.0632775	0.0212554	0.192262	0.0039451	0.175563	0.084337	0.0244063	0.349233	0.701627	1.07895	1.87019	1.78512
4890	-250.892	-267.921	17.0295	2.337648	15.65886	0.122231	0.0271769	0.0219631	0.105591	0.100764	0.020017	0.0154124	0.0376794	0.066213	0.0385538	0.013646	0.00762038	0.0201286	0.00109403	0.0642002	0.0429045	0.0709618	0.0668131	0.0435285	0.0635362	0.210757	0.00148958	0.0263694	0.0793383	0.217749	0.00324557	0.105264	0.0377893	0.0266458	0.330503	0.686704	1.07653	1.90627	1.658682
4900	-254.504	-268.898	14.3943	5.910191	16.38011	0.0886905	0.02702	0.0407364	0.203008	0.0207609	0.0355409	0.0243138	0.0510479	0.0549546	0.0412051	0.0060962	0.00803377	0.0145919	0.00153279	0.0316226	0.0147722	0.099518	0.0488678	0.0578282	0.0268328	0.274614	0.00438369	0.00825888	0.0430268	0.218881	0.0111329	0.0900753	0.0386394	0.0133542	0.535988	0.822949	1.08146	1.5596	1.59934
4910	-257.359	-271.56	14.2014	2.604701	13.3473	0.141476	0.0146778	0.0316678	0.171789	0.0135099	0.017669	0.035407	0.0473017	0.0668588	0.0399563	0.00172277	0.0482095	0.00279109	0.0027865	0.0670393	0.138377	0.0519165	0.0386806	0.0530854	0.065168	0.403397	0.0138146	0.0106214	0.0485888	0.16099	0.00324074	0.0978742	0.0183445	0.0184634	0.356164	0.706991	1.07972	1.85712	1.825424
4920	-261.875	-272.378	10.5031	1.512265	13.82665	0.130018	0.0331722	0.132823	0.0676854	0.0121096	0.0165737	0.016314	0.0727607	0.12709	0.187038	0.00182375	0.0526953	0.0150604	0.00335743	0.0518085	0.231872	0.124118	0.00706132	0.0920684	0.0767106	0.429362	0.00304533	0.0301938	0.0579605	0.0487954	0.0123412	0.0556112	0.0549131	0.0313129	0.227211	0.590585	1.05113	2.13107	2.175695
4930	-261.619	-270.873	9.25337	1.386224	12.40711	0.203387	0.0450778	0.0918091	0.0762249	0.00823055	0.00303253	0.0156089	0.0817447	0.0667991	0.0673314	0.00370332	0.0743505	0.0183964	0.0047389	0.144046	0.224934	0.0626537	0.0286022	0.230421	0.0284081	0.2865	0.0039044	0.0489065	0.0771528	0.0880155	0.0211441	0.158322	0.0974052	0.0443379	0.207199	0.568454	1.04298	2.18137	2.305189
4940	-265.024	-272.432	7.40831	3.006221	13.83676	0.232325	0.0273491	0.0773776	0.0698059	0.0725928	0.00640873	0.0113764	0.035178	0.12896	0.0454349	0.00459651	0.0734746	0.0239774	0.00511956	0.15033	0.106071	0.0393708	0.0591068	0.184251	0.0439533	0.361773	0.00647035	0.0539069	0.0663978	0.19515	0.0166295	0.10077	0.064328	0.0287021	0.389743	0.731872	1.08255	1.79584	2.291186
4950	-271.244	-273.607	2.3634	2.891867	11.31237	0.308598	0.027926	0.0208202	0.0281981	0.0293485	0.00383627	0.0147861	0.0184139	0.194252	0.0140189	0.00278851	0.0630566	0.0393462	0.00313986	0.128401	0.287094	0.247307	0.0339987	0.24416	0.0682908	0.544872	0.00436997	0.132579	0.0319908	0.110919	0.0741989	0.0529679	0.0180674	0.0390435	0.38072	0.72536	1.08193	1.81199	2.78679
4960	-263.572	-271.261	7.68904	1.812814	10.44937	0.127916	0.0354033	0.0357525	0.0683372	0.026615	0.00234259	0.0170671	0.0161844	0.137059	0.011596	0.00179108	0.0190768	0.0890711	0.00178974	0.0593118	0.238006	0.14148	0.0190792	0.096577	0.0232867	0.483879	0.00560328	0.0596632	0.0871788	0.176757	0.173821	0.110042	0.0512597	0.0908881	0.269858	0.633508	1.06451	2.03212	2.406836
4970	-267.758	-270.452	2.69396	4.130763	10.06322	0.294021	0.059097	0.0397622	0.0363702	0.0232998	0.00211305	0.0285244	0.0275099	0.19177	0.011488	0.00099479	0.0269403	0.0597367	0.00151606	0.0654799	0.376043	0.173748	0.0716562	0.089315	0.0182935	0.319632	0.00994887	0.0329597	0.0883805	0.216794	0.109323	0.0533145	0.197885	0.0384679	0.461404	0.779613	1.08436	1.67462	2.664385
4980	-260.627	-268.637	8.01047	3.253199	9.85563	0.123382	0.0366605	0.083074	0.0205908	0.131123	0.00217652	0.0108893	0.0478633	0.0624507	0.0417362	0.00192504	0.0253615	0.0559975	0.00117201	0.0407816	0.262341	0.12795	0.0307965	0.0688271	0.0140696	0.322419	0.0051086	0.0247788	0.0463009	0.194244	0.121964	0.182954	0.109137	0.0169109	0.407948	0.744649	1.08351	1.76389	2.212987
4990	-257.973	-271.56	13.5864	3.805981	13.88104	0.107572	0.0610669	0.0405829	0.0308825	0.0298773	0.00624543	0.00295668	0.0352085	0.0167914	0.0338161	0.00683596	0.0191898	0.0981839	0.000760398	0.0692795	0.129984	0.078905	0.089079	0.120098	0.0700007	0.19219	0.00451641	0.0120991	0.0869951	0.167128	0.0445519	0.122013	0.076786	0.0336274	0.443376	0.768221	1.08438	1.70403	1.787223
5000	-257.126	-273.944	16.8176	3.274618	14.13352	0.0704472	0.0345833	0.0147831	0.0507275	0.0508405	0.00114471	0.0032978	0.0357145	0.0268737	0.0156288	0.00330606	0.0194574	0.0483007	0.00642541	0.0368324	0.0406227	0.205682	0.0727009	0.0853203	0.044267	0.208567	0.00751061	0.0261201	0.0756174	0.125539	0.0627838	0.161901	0.0362547	0.0264363	0.409451	0.745682	1.08357	1.76129	1.597685
5010	-255.567	-268.834	13.2668	2.618038	12.52948	0.140361	0.0249064	0.0715302	0.0305618	0.130894	0.00199442	0.00306279	0.0786629	0.0450977	0.0441458	0.00418381	0.0411729	0.0145427	0.00218051	0.0329507	0.0368232	0.300404	0.0747689	0.174297	0.0133788	0.129909	0.00327718	0.0363387	0.0946947	0.164299	0.0352569	0.10259	0.0305104	0.0220115	0.357369	0.707916	1.07985	1.85486	1.884805
5020	-255.668	-265.285	9.61641	2.825938	16.98374	0.0780136	0.012607	0.153529	0.0330593	0.0714033	0.00148106	0.00373588	0.0866539	0.0182644	0.138332	0.0072705	0.0446791	0.0117081	0.00117014	0.0200716	0.124899	0.201836	0.0500421	0.109589	0.0166726	0.318469	0.00518539	0.0854413	0.0691196	0.133617	0.136238	0.0378982	0.0372424	0.051875	0.375331	0.721411	1.08151	1.82175	2.060104
5030	-261.29	-273.592	12.3021	1.489281	14.45096	0.0943132	0.0108771	0.0693108	0.0249267	0.0511676	0.000628042	0.00428162	0.115811	0.0813523	0.0825013	0.0618194	0.0340446	0.00912845	0.000514002	0.0919778	0.216313	0.148662	0.0231295	0.10259	0.022429	0.234589	0.00567536	0.0905968	0.0330614	0.115961	0.156638	0.0944267	0.0132684	0.0487933	0.223662	0.586762	1.04979	2.13979	2.038788
5040	-266.127	-272.665	6.53756	2.040641	10.14963	0.251384	0.00516886	0.0950404	0.0252458	0.0512523	0.00148161	0.00304526	0.0462573	0.153278	0.0879758	0.0544208	0.013844	0.00574334	0.000498609	0.0745034	0.435151	0.127699	0.101576	0.0783192	0.00639359	0.442614	0.00867819	0.0655064	0.0265294	0.0674295	0.133613	0.0529228	0.0290935	0.0470026	0.298078	0.659267	1.07097	1.97168	2.491666
5050	-263.912	-269.719	5.80753	3.184247	10.86223	0.272646	0.00650356	0.159483	0.0335513	0.0703729	0.00187178	0.0113459	0.104555	0.0648881	0.033862	0.038905	0.0194933	0.0069763	0.00165554	0.138993	0.321186	0.138322	0.0786418	0.0596656	0.0119948	0.284169	0.0231872	0.208152	0.0171415	0.0549871	0.170405	0.0805194	0.0199342	0.0247595	0.403032	0.741245	1.08329	1.77244	2.458167
5060	-263.146	-268.262	5.11636	1.748756	9.658643	0.211188	0.00687786	0.222171	0.0415477	0.0550063	0.00148685	0.0107581	0.182962	0.0726082	0.0174262	0.0142037	0.0145972	0.00639739	0.000806521	0.197657	0.196309	0.0813673	0.105264	0.147689	0.0297245	0.36337	0.0291921	0.0927995	0.0122719	0.163093	0.157908	0.141257	0.0515325	0.0295094	0.261321	0.625328	1.06221	2.05114	2.656981
5070	-262.645	-268.241	5.5962	5.053002	16.8958	0.0978751	0.00437349	0.320271	0.0165773	0.0661183	0.00337627	0.00525182	0.0445966	0.185681	0.052177	0.0261134	0.0283366	0.00686039	0.00207512	0.0658096	0.135051	0.0583822	0.0652877	0.106694	0.0507144	0.235218	0.138984	0.109508	0.0095303	0.0465631	0.127478	0.0613436	0.0519287	0.0469115	0.504264	0.805219	1.08321	1.60731	2.169087
5080	-254.612	-269.8	15.1881	2.409648	11.49233	0.0476512	0.00438599	0.186685	0.00445039	0.0244897	0.0063125	0.0160544	0.055129	0.077238	0.063139	0.0113249	0.0214536	0.0170047	0.00282998	0.0314103	0.112679	0.0262982	0.0671227	0.106022	0.00623252	0.307573	0.114017	0.111526	0.0291	0.0426975	0.0742484	0.0572865	0.00815388	0.0733534	0.33772	0.692529	1.07752	1.89223	1.705869
5090	-253.619	-267.529	13.9106	3.179669	13.59086	0.0402338	0.00134134	0.0854957	0.0124499	0.0202129	0.00234909	0.00451934	0.0193664	0.100018	0.0464265	0.0253911	0.0105585	0.0704573	0.00201055	0.0229616	0.0522665	0.0335804	0.163166	0.197812	0.00797225	0.384161	0.0794151	0.108438	0.0366162	0.10657	0.0635914	0.0798667	0.00273718	0.0268157	0.402701	0.741014	1.08327	1.77301	1.806801
5100	-255.015	-270.556	15.5405	1.811905	9.49412	0.120574	0.00408129	0.0842959	0.0429819	0.0432018	0.0143428	0.00617769	0.00493365	0.0659837	0.0660977	0.0245641	0.0226129	0.0444337	0.000736498	0.0231862	0.0616669	0.0493968	0.0685334	0.136878	0.00904184	0.265532	0.0708097	0.0402801	0.0584818	0.0289801	0.0611966	0.102475	0.00535575	0.0225687	0.269739	0.633396	1.06448	2.03238	1.549401
5110	-251.695	-272.277	20.5823	0.9728334	15.85369	0.114728	0.0025523	0.0710702	0.130055	0.0123199	0.00858364	0.00344862	0.018786	0.044354	0.0215244	0.0391386	0.0062549	0.0617178	9.94775e-05	0.0531563	0.0753729	0.0189973	0.0177643	0.182329	0.0145091	0.248504	0.0560721	0.0651568	0.021164	0.0494018	0.0332074	0.0958334	0.00656189	0.0477897	0.131502	0.468431	0.995349	2.40472	1.520452
5120	-241.858	-270.175	28.3168	1.189143	19.68299	0.0785667	0.00721732	0.0880803	0.0402793	0.0168006	0.0183024	0.00436558	0.0336969	0.049162	0.0428812	0.0158715	0.00273708	0.0115197	6.10818e-05	0.0859692	0.0516678	0.0191012	0.0200025	0.0578365	0.00953545	0.208061	0.0486127	0.0287629	0.00841591	0.0596379	0.0357579	0.0221415	0.0071603	0.0283564	0.17308	0.527055	1.02542	2.27444	1.10056
5130	-247.724	-270.586	22.8618	1.433414	20.05266	0.110734	0.006024	0.192776	0.0324977	0.0422848	0.00869847	0.0169063	0.0125196	0.0702528	0.0112067	0.0208952	0.00166771	0.00969245	0.000130261	0.0535032	0.0344626	0.0261281	0.0464888	0.0779622	0.0257471	0.139817	0.0671364	0.0697094	0.0116747	0.0564051	0.124699	0.0377134	0.0458045	0.00980701	0.214851	0.577084	1.04626	2.16181	1.363345
5140	-246.156	-264.092	17.9365	2.557952	15.77792	0.0487183	0.00307526	0.174388	0.0413078	0.0171832	0.0119633	0.0238809	0.0635132	0.048435	0.015367	0.0106244	0.000654112	0.0483453	0.000181423	0.0760861	0.107815	0.0278338	0.0457254	0.0851927	0.0618986	0.233536	0.0932443	0.0358904	0.00601266	0.0415044	0.0667315	0.0299939	0.16407	0.00396214	0.351883	0.703688	1.07926	1.86517	1.587134
5150	-251.164	-268.131	16.9678	1.952077	16.32852	0.0584654	0.0106718	0.276327	0.0259304	0.0361586	0.0147877	0.0210334	0.044743	0.0686284	0.0241931	0.0103146	0.000474828	0.0472943	5.21568e-05	0.103018	0.147429	0.0523479	0.0586345	0.093032	0.0361141	0.202528	0.103763	0.0285938	0.00130815	0.0196783	0.0727909	0.0125534	0.104933	0.00842282	0.287486	0.649819	1.06874	1.99395	1.684222
5160	-246.555	-266.996	20.4417	0.9022559	20.06435	0.151383	0.00760257	0.191817	0.0179682	0.0195583	0.00550445	0.0118236	0.0397819	0.0225976	0.0373438	0.00349945	0.000335236	0.0239416	0.000169396	0.0956162	0.210614	0.0231026	0.0371966	0.038166	0.0408173	0.300563	0.0350562	0.0396034	0.0015841	0.00836214	0.0484314	0.0208548	0.0664965	0.0105771	0.117062	0.445264	0.981707	2.45597	1.510367
5170	-247.829	-270.233	22.4036	1.652181	17.03676	0.0691553	0.0223281	0.0402184	0.030835	0.0500848	0.0135066	0.0129448	0.030132	0.0190163	0.0250813	0.00673967	0.000327157	0.021132	0.000649754	0.0500907	0.10324	0.0866482	0.071183	0.1014	0.0636096	0.207679	0.0317877	0.0566501	0.00121966	0.00535721	0.164618	0.0317764	0.0501252	0.00917214	0.247903	0.612072	1.05824	2.08179	1.376709
5180	-246.911	-274.252	27.341	0.5549759	18.14386	0.0928847	0.0328416	0.0614155	0.0802595	0.0186068	0.0195959	0.00678029	0.0223088	0.0284221	0.0482405	0.0139674	0.000584755	0.0302338	0.0010104	0.0761268	0.0387464	0.0218901	0.0458382	0.0397142	0.0225369	0.102854	0.0241142	0.0699743	0.00121436	0.00308213	0.0292779	0.0583357	0.134188	0.0444297	0.0439757	0.286299	0.856488	2.81324	1.169475
5190	-251.649	-274.883	23.2336	1.42696	18.08592	0.103546	0.0304675	0.0266072	0.0293954	0.0141697	0.0268751	0.0139418	0.0233929	0.00849989	0.0634134	0.00954193	0.000419763	0.0285649	0.000482627	0.0520823	0.00692663	0.0244037	0.156708	0.100036	0.0152507	0.212229	0.0388778	0.031275	0.00214655	0.00495992	0.148183	0.0831365	0.0739814	0.0181124	0.213816	0.575929	1.04583	2.16443	1.347628
5200	-242.426	-266.24	23.8138	2.54995	18.40683	0.0554619	0.03694	0.0442925	0.0277718	0.0121237	0.0130749	0.00947981	0.0148844	0.00820913	0.0437727	0.0349311	0.00270845	0.0389959	0.0046364	0.116933	0.00314957	0.0419421	0.200274	0.0214253	0.015663	0.173523	0.0441654	0.0528556	0.00101882	0.00472472	0.051693	0.0376873	0.114195	0.0292899	0.351142	0.703113	1.07917	1.86657	1.255823
5210	-234.276	-261.107	26.8311	1.368753	23.35248	0.0245798	0.00551845	0.0630633	0.0550696	0.0263251	0.0191471	0.00244883	0.0140186	0.0317142	0.0304873	0.0184689	0.000673191	0.00962316	0.00319442	0.0645322	0.00884936	0.0444501	0.238043	0.0444426	0.0422689	0.14805	0.0505989	0.0568693	0.000399227	0.00479496	0.0247056	0.0798078	0.0358407	0.0164296	0.204317	0.565145	1.04168	2.18885	1.164414
5220	-238.962	-264.058	25.0964	1.652281	23.08954	0.0287544	0.00841529	0.116972	0.0193162	0.0412852	0.00984454	0.00565943	0.0129227	0.0533241	0.0124283	0.0107134	0.000625157	0.0136888	0.00466226	0.0615305	0.00660716	0.0349888	0.262631	0.0532214	0.0312294	0.206334	0.0335386	0.0610649	0.000371189	0.0139687	0.0165686	0.0658541	0.0106135	0.0314466	0.247917	0.612086	1.05824	2.08176	1.228581
5230	-246.434	-264.774	18.3407	1.714976	18.88408	0.177903	0.0112817	0.136948	0.0212975	0.0109193	0.037381	0.0120987	0.00865495	0.0282307	0.0130795	0.0157788	0.00231114	0.0190406	0.00408931	0.125958	0.0399427	0.0183656	0.294092	0.0924728	0.0619613	0.224639	0.0504205	0.0115089	0.000671606	0.00448238	0.00635404	0.0920745	0.0565901	0.0138342	0.256704	0.620824	1.0609	2.06158	1.592382
5240	-241.696	-264.908	23.2121	1.677808	19.90861	0.222369	0.0088511	0.0463173	0.0114806	0.0125712	0.0372854	0.0037361	0.0169473	0.020397	0.00756657	0.0180601	0.00695769	0.0409765	0.00204435	0.0300435	0.0151221	0.0902218	0.131238	0.0657248	0.0899301	0.215881	0.0692198	0.0536517	0.000891163	0.00300757	0.0243797	0.0179932	0.0549943	0.0164227	0.25153	0.615705	1.05936	2.07341	1.334282
