Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
100	-1921.75	-1942.1	20.3428	0.6684264	18.41636	0.0490558	0.0221174	0.0505366	0.0888317	0.0445319	0.110269	0.0116835	0.0565819	0.0621631	0.0159854	0.0149182	0.0941574	0.0067519	0.0407266	0.117315	0.0027974	0.020554	0.0472784	0.0532318	0.0152606	0.0329884	0.055443	0.0691053	0.0219176	0.0873219	0.0412971	0.230386	0.125366	0.0221014	0.0192261	0.0448264	0.0624691	0.0760405	0.0201009	0.00480724	0.0665827	0.0347386	0.0342721	0.0117368	0.0764485	0.0739862	0.158557	0.0794372	0.00758571	0.232301	0.0380348	0.0100202	0.0674611	0.348244	0.912582	2.67171	2.661845
110	-1931.04	-1949.5	18.466	0.9156107	14.01417	0.0290247	0.0337324	0.0262829	0.132008	0.0264725	0.0245374	0.0130266	0.0933247	0.0234881	0.00817342	0.00695813	0.0777343	0.00969179	0.0653179	0.127834	0.00363308	0.0267058	0.0782965	0.019096	0.0148055	0.0938187	0.0347609	0.0975062	0.132934	0.126097	0.0269194	0.209805	0.100112	0.015222	0.0237055	0.042564	0.0588637	0.0529206	0.0355933	0.00660515	0.0819746	0.0483631	0.0234705	0.0192596	0.0722273	0.0859769	0.126419	0.0575885	0.00535992	0.265786	0.060918	0.0160427	0.119824	0.449829	0.984477	2.44587	2.760957
120	-1921.51	-1937.87	16.3691	0.6713708	14.95293	0.0324141	0.0240841	0.0236621	0.0806785	0.06176	0.0633907	0.00837031	0.0738139	0.046387	0.0189623	0.00885405	0.0849768	0.00374196	0.04514	0.15524	0.00435913	0.00963335	0.0570859	0.0398298	0.0119589	0.0544476	0.0477402	0.149198	0.0531626	0.125365	0.0335789	0.259406	0.121634	0.0157688	0.0244322	0.0209057	0.0597981	0.0491224	0.0243363	0.0279511	0.0439542	0.0436566	0.0381969	0.0297616	0.0544392	0.0958816	0.234653	0.130919	0.00488255	0.261045	0.0644511	0.0123991	0.0680867	0.349703	0.913779	2.66843	2.935429
130	-1923.72	-1937.6	13.883	1.105065	16.00963	0.0439395	0.0136987	0.0495321	0.142476	0.0248131	0.0269606	0.0200785	0.0816051	0.00868893	0.0180532	0.0124061	0.0814534	0.00173186	0.0454993	0.0943465	0.0176683	0.0366098	0.0450873	0.0345314	0.00752807	0.0572897	0.0321994	0.170249	0.0360399	0.168812	0.0583036	0.144245	0.152534	0.0114211	0.0208017	0.0715985	0.0609005	0.0710425	0.055899	0.0536265	0.0382446	0.0610248	0.0378787	0.0521915	0.0364051	0.165642	0.203527	0.0951205	0.0188219	0.3161	0.0467842	0.0137297	0.157428	0.506204	1.01544	2.32093	3.05714
140	-1924.42	-1935.24	10.8192	1.023914	15.18085	0.0508234	0.00822865	0.0166506	0.117063	0.0686344	0.034479	0.0481728	0.0510918	0.00409106	0.02162	0.0171984	0.107788	0.00200437	0.056815	0.12844	0.0298392	0.0114297	0.0922523	0.0518346	0.00300708	0.0545101	0.065769	0.174804	0.0555564	0.0912871	0.0358313	0.181213	0.24371	0.0328153	0.0129156	0.0591434	0.074414	0.0620383	0.0462295	0.0126542	0.10503	0.0368574	0.0417798	0.0318865	0.0198375	0.136535	0.257375	0.134685	0.0176755	0.285715	0.0624038	0.0234208	0.141701	0.483824	1.00385	2.37062	3.277557
150	-1935.83	-1947.32	11.4902	1.589265	13.22841	0.0482062	0.00879652	0.0554214	0.0510931	0.0364209	0.0886988	0.0114582	0.0744021	0.00664131	0.00427047	0.0191543	0.158943	0.00214504	0.0569862	0.109715	0.0132051	0.00157131	0.0444556	0.0113914	0.00139344	0.0347978	0.116028	0.134956	0.0254453	0.0902597	0.00675815	0.244729	0.05112	0.146598	0.0294684	0.0602396	0.0638436	0.109087	0.0236813	0.0125262	0.0912947	0.0472555	0.0481517	0.0811502	0.00964144	0.203397	0.137599	0.200791	0.0203845	0.340103	0.0654055	0.00915382	0.238788	0.60277	1.05526	2.10318	3.208234
160	-1935.22	-1948.56	13.3421	1.356108	15.77842	0.0368317	0.0177228	0.0411451	0.0665451	0.0741916	0.0525161	0.0160698	0.102336	0.0347562	0.00711044	0.0276343	0.291554	0.0031269	0.0484097	0.091702	0.00622902	0.002029	0.0776317	0.0266431	0.00167781	0.105501	0.0632646	0.141436	0.0207364	0.114332	0.0083975	0.231514	0.0557351	0.0977932	0.0331301	0.118611	0.0567027	0.104871	0.0138129	0.0234437	0.0833632	0.0287883	0.0183506	0.0618442	0.00628232	0.166898	0.137979	0.0735112	0.00647393	0.236291	0.0307254	0.0142537	0.202214	0.562711	1.04072	2.19435	3.079904
170	-1937.98	-1951.66	13.6802	0.9438155	19.44806	0.0275865	0.00781712	0.032943	0.136148	0.0716696	0.0542369	0.030488	0.0580114	0.0111883	0.00344341	0.0257145	0.279909	0.0107234	0.0345172	0.107794	0.0118107	0.00163624	0.0376056	0.0316295	0.00398333	0.0748234	0.0610219	0.156784	0.0334318	0.0358101	0.0136897	0.339583	0.126758	0.144091	0.0194082	0.0691214	0.0587041	0.0312438	0.00686303	0.0250146	0.0752417	0.0231907	0.0152769	0.0670551	0.00526846	0.185707	0.185056	0.0849869	0.0243916	0.0793286	0.0379183	0.0115537	0.125612	0.459187	0.990029	2.42517	2.970179
180	-1916.19	-1939.37	23.1866	0.6328396	20.10207	0.0258081	0.00860016	0.0172635	0.0995531	0.033928	0.0502239	0.0156488	0.0582496	0.0162073	0.00931152	0.0287714	0.171336	0.00359627	0.0484967	0.0487217	0.00599613	0.00107114	0.0360808	0.0166947	0.00924318	0.0516183	0.0499651	0.136228	0.0361355	0.0593256	0.00933133	0.223292	0.119928	0.117763	0.0210685	0.0193389	0.0945328	0.0801013	0.0190189	0.0102198	0.0311929	0.0201718	0.0468237	0.0307854	0.011025	0.231101	0.183315	0.0592924	0.012659	0.0515792	0.045589	0.0107295	0.0599442	0.330041	0.897191	2.71282	2.486933
190	-1928.7	-1950.1	21.4008	0.6705776	14.08831	0.043679	0.0187252	0.0234009	0.097412	0.0243948	0.0345953	0.0545519	0.088299	0.0169345	0.00604328	0.0137208	0.166711	0.00410165	0.0303534	0.0403311	0.00789846	0.000956055	0.0501295	0.00658082	0.0253145	0.0685552	0.0368489	0.114992	0.0666802	0.106033	0.0112211	0.135572	0.247974	0.0329572	0.0309509	0.043892	0.0653429	0.0729725	0.00540961	0.00972866	0.0186982	0.0298347	0.0527755	0.0192257	0.0253195	0.202298	0.190805	0.090656	0.0306588	0.0747035	0.0183575	0.0154544	0.0679181	0.349311	0.913458	2.66931	2.572052
